date,close,vol_usd,vol_btc,fed_rate,gold_usd,kospi,ex_rate
2014-04-22,487.299988,2340457,4802.9079779086715,0.09,1286.75,2004.22,1037.9
2014-04-23,500.290009,2075376,4148.3458847166385,0.09,1285.25,2000.37,1039.6
2014-04-24,464.48999000000003,3000226,6459.183329225243,0.09,1291.5,1998.34,1039.5
2014-04-25,457.869995,3157540,6896.149637409631,0.09,1301.25,1971.66,1038.3
2014-04-26,443.17999299999997,3154922,7118.827676862209,0.09,1301.25,1971.66,1038.3
2014-04-27,441.920013,2004954,4536.9160504618285,0.09,1301.25,1971.66,1038.3
2014-04-28,446.119995,1670352,3744.176496729316,0.09,1299.0,1969.26,1038.9
2014-04-29,445.630005,1831533,4109.985816596887,0.09,1297.75,1964.77,1037.1
2014-04-30,460.130005,1915772,4163.545039841512,0.09,1288.5,1961.79,1031.7
2014-05-01,453.670013,1532239,3377.4306348081245,0.09,1278.5,1961.79,1031.7
2014-05-02,438.64999400000005,1143291,2606.3855366198864,0.09,1281.25,1959.44,1032.2
2014-05-03,436.049988,1470650,3372.663778172149,0.09,1281.25,1959.44,1032.2
2014-05-04,430.869995,1328247,3082.709437680848,0.09,1281.25,1959.44,1032.2
2014-05-05,432.19000199999994,1809731,4187.350451480366,0.09,1281.25,1959.44,1032.2
2014-05-06,446.549988,2209759,4948.514297127246,0.09,1306.25,1959.44,1032.2
2014-05-07,441.10998499999994,1134338,2571.5536681854983,0.09,1296.0,1939.88,1031.2
2014-05-08,445.450012,1013830,2275.9680608112767,0.09,1287.0,1950.6,1025.6
2014-05-09,451.89999400000005,210112,464.9524292757569,0.09,1291.25,1956.55,1023.5
2014-05-10,433.23001100000005,845213,1950.9567170774785,0.09,1291.25,1956.55,1023.5
2014-05-11,438.209991,610287,1392.6816196210368,0.09,1291.25,1956.55,1023.5
2014-05-12,433.920013,1164049,2682.6349675648635,0.09,1298.75,1964.94,1023.0
2014-05-13,442.630005,978031,2209.590377859721,0.09,1296.5,1982.93,1025.0
2014-05-14,448.10000599999995,989003,2207.103295597814,0.09,1305.25,2010.83,1022.9
2014-05-15,453.630005,799913,1763.359987618103,0.09,1299.0,2010.2,1024.6
2014-05-16,452.790009,776390,1714.6800604427647,0.09,1291.5,2013.44,1026.5
2014-05-17,450.14001500000006,653912,1452.6857826669773,0.09,1291.5,2013.44,1026.5
2014-05-18,443.89999400000005,602742,1357.8328635886396,0.09,1291.5,2013.44,1026.5
2014-05-19,484.57000700000003,883359,1822.9749824363355,0.09,1302.0,2015.14,1025.8
2014-05-20,488.839996,689104,1409.6718878133695,0.09,1295.5,2011.26,1022.7
2014-05-21,515.3599849999999,1589075,3083.427208652997,0.09,1287.25,2008.33,1024.1
2014-05-22,518.090027,1457339,2812.9068772829323,0.09,1298.5,2015.59,1026.7
2014-05-23,520.460022,1492790,2868.2126136481625,0.09,1291.5,2017.17,1025.2
2014-05-24,570.4400019999999,1037758,1819.2237507214652,0.09,1291.5,2017.17,1025.2
2014-05-25,582.01001,1712997,2943.2431926729237,0.09,1291.5,2017.17,1025.2
2014-05-26,570.099976,1947436,3415.955239401729,0.09,1291.5,2010.35,1024.3
2014-05-27,570.840027,2054559,3599.1852407364563,0.09,1275.5,1997.63,1023.9
2014-05-28,564.419983,2121556,3758.825101697365,0.09,1263.5,2017.06,1023.4
2014-05-29,612.349976,3688564,6023.620714569931,0.09,1255.0,2012.26,1022.6
2014-05-30,627.909973,2738340,4361.039189928585,0.09,1250.5,1994.96,1021.6
