date,ex_rate
2015-01-24,1085.3
2015-01-25,1085.3
2015-01-26,1084.1
2015-01-27,1079.3
2015-01-28,1082.1
2015-01-29,1082.9
2015-01-30,1090.8
2015-01-31,1090.8
2015-02-01,1090.8
2015-02-02,1095.9
2015-02-03,1101.2
2015-02-04,1098.3
2015-02-05,1089.2
2015-02-06,1089.2
2015-02-07,1089.2
2015-02-08,1089.2
2015-02-09,1088.3
2015-02-10,1097.0
2015-02-11,1090.8
2015-02-12,1096.9
2015-02-13,1107.5
2015-02-14,1107.5
2015-02-15,1107.5
2015-02-16,1098.4
2015-02-17,1098.7
2015-02-18,1098.7
2015-02-19,1098.7
2015-02-20,1098.7
2015-02-21,1098.7
2015-02-22,1098.7
2015-02-23,1101.3
2015-02-24,1109.8
2015-02-25,1108.6
2015-02-26,1102.5
2015-02-27,1099.2
2015-02-28,1099.2
2015-03-01,1099.2
2015-03-02,1099.5
2015-03-03,1102.5
2015-03-04,1100.0
2015-03-05,1096.5
2015-03-06,1100.1
2015-03-07,1100.1
2015-03-08,1100.1
2015-03-09,1099.5
2015-03-10,1110.3
2015-03-11,1119.5
2015-03-12,1126.6
2015-03-13,1130.9
2015-03-14,1130.9
2015-03-15,1130.9
2015-03-16,1125.6
2015-03-17,1133.9
2015-03-18,1130.1
2015-03-19,1126.6
2015-03-20,1114.0
2015-03-21,1114.0
2015-03-22,1114.0
2015-03-23,1121.7
2015-03-24,1115.9
2015-03-25,1107.1
2015-03-26,1102.7
2015-03-27,1104.2
2015-03-28,1104.2
2015-03-29,1104.2
2015-03-29,1104.2
2015-03-30,1104.3
2015-03-31,1105.0
2015-04-01,1109.4
2015-04-02,1103.8
2015-04-03,1098.0
2015-04-04,1098.0
2015-04-05,1098.0
2015-04-06,1094.6
2015-04-07,1086.0
2015-04-08,1089.7
2015-04-09,1093.4
2015-04-10,1093.9
2015-04-11,1093.9
2015-04-12,1093.9
2015-04-13,1094.6
2015-04-14,1096.6
2015-04-15,1096.8
2015-04-16,1096.0
2015-04-17,1089.0
2015-04-18,1089.0
2015-04-19,1089.0
2015-04-20,1085.1
2015-04-21,1082.7
2015-04-22,1083.5
2015-04-23,1081.8
